  15164 ,   -3092 ,  -10852 ,   19941 ,   -6794 ,   -9016
  13388 ,   -5724 ,   -8004 ,   14169 ,   10589 ,   -2637
  15732 ,   -6548 ,   -4608 ,    5936 ,     880 ,   -1381
---  14376 ,   -7792 ,   -4808 ,    3196 ,   -2040 ,     461
  14680 ,   -7464 ,   -3524 ,   29785 ,   -8375 ,    -969
  12888 ,   -5300 ,    1456 ,    6895 ,  -13554 ,  -10784
  -3880 ,   16820 ,  -29380 ,  -32768 ,   32591 ,   32767
  17504 ,   -5860 ,   -4176 ,   -3595 ,   -1115 ,   -1958
  15096 ,   -3340 ,   -9728 ,    2345 ,   -1487 ,   -1941
  16284 ,   -1636 ,   -4036 ,   32767 ,   -2435 ,  -17271
  15112 ,   -3848 ,   -7304 ,   -6884 ,   -3478 ,    3642
  15620 ,   -4204 ,   -6960 ,   -3813 ,    -492 ,    1219
  14952 ,   -4076 ,   -7400 ,   -2500 ,    -696 ,     513
---  13520 ,   -7836 ,   -6508 ,   -1221 ,     173 ,      25
  14384 ,   -7456 ,   -7352 ,    -321 ,      15 ,    -983
  13284 ,    4656 ,   -8336 ,  -32768 ,   -9121 ,   32767
  10896 ,   -5284 ,   -7664 ,    2910 ,   19719 ,    5099
  13704 ,   -1924 ,  -10000 ,      57 ,   -1390 ,    -132
  14652 ,   -2156 ,   -6816 ,   12710 ,     878 ,   -9954
  14824 ,   -2628 ,   -8888 ,   19345 ,    5052 ,   -9209
  15000 ,   -2612 ,   -8864 ,   -4647 ,   -1517 ,    3703
  13692 ,   -3432 ,  -11084 ,   -6595 ,    1575 ,    6180
  14460 ,   -4488 ,   -8536 ,   -5075 ,    4128 ,    5987
---  15540 ,   -6512 ,   -4096 ,   -1995 ,     653 ,     466
  15132 ,   -6716 ,   -4584 ,    -369 ,    -192 ,    -640
  15428 ,   -4244 ,   -3004 ,   32767 ,  -27224 ,  -13411
  11500 ,  -10508 ,   -4336 ,   -1029 ,   -6560 ,    -848
  30076 ,   11544 ,   -2744 ,  -32768 ,   31832 ,   32767
  19844 ,  -11064 ,   -4256 ,     654 ,    6354 ,    4884
  12864 ,   -8728 ,   -5340 ,    3626 ,    -841 ,   -3953
  19756 ,   -6716 ,    4216 ,   32767 ,   -9734 ,  -13346
  14820 ,   -5208 ,    -696 ,    7387 ,   -3672 ,     316
  15688 ,   -6048 ,   -2240 ,     -83 ,    -808 ,   -1296
---  15784 ,   -5888 ,   -2960 ,    2265 ,   -3743 ,    1278
  15912 ,   -6548 ,   -4112 ,    5234 ,   -2998 ,    -319
  16324 ,   -6508 ,   -2700 ,   25651 ,  -17005 ,   -1889
   8268 ,    8088 ,  -24776 ,  -32768 ,   30245 ,   32767
  18136 ,   -6124 ,   -8172 ,     596 ,     818 ,     485
