    152 ,  -16212 ,     988 ,       5 ,     295 ,     154
   2496 ,   13412 ,     324 ,   25942 ,   10729 ,  -20522
   6968 ,   13736 ,    6456 ,   -5680 ,    1743 ,    1347
   8816 ,   12036 ,   10980 ,  -22840 ,    4005 ,    5048
   6028 ,   -1052 ,   13532 ,  -32768 ,   13233 ,    5534
   1376 ,  -14084 ,    5696 ,  -14406 ,    2906 ,    1846
   1260 ,  -15788 ,    4220 ,   -3179 ,    -452 ,    1413
   1404 ,  -15848 ,    4836 ,   -1833 ,    -547 ,    -145
    792 ,  -15816 ,    3776 ,     271 ,     -34 ,    -569
---
  19548 ,   31228 ,   22748 ,   32767 ,    2959 ,   -9349
   8712 ,   12088 ,    2072 ,   -2155 ,    -797 ,   -1608
   9260 ,   13316 ,    7764 ,  -15435 ,    2582 ,    3267
   8224 ,    8116 ,   12804 ,  -24929 ,    4885 ,    3898
   4076 ,   -8668 ,   11608 ,  -30478 ,    4913 ,    7851
   1052 ,  -14660 ,    4900 ,   -8188 ,   -2563 ,    2007
   1348 ,  -15860 ,    3824 ,     858 ,    -432 ,     -15
    968 ,  -15868 ,    3424 ,     990 ,    -109 ,    -217
   1232 ,  -15820 ,    3944 ,       1 ,      54 ,     -24
   1828 ,  -15816 ,    4692 ,   -1002 ,     575 ,     185
---
   9428 ,   11508 ,    4624 ,   -2188 ,    -198 ,   -1328
   9164 ,   12644 ,    7328 ,   -5708 ,     719 ,    2258
   9120 ,    5148 ,   15740 ,  -32768 ,   13607 ,    9002
   4204 ,  -11628 ,    9196 ,  -25312 ,    4958 ,    7886
    456 ,  -15136 ,    3536 ,   -6530 ,    -603 ,    1083
    708 ,  -16260 ,    2436 ,    -335 ,    -547 ,     718
   -740 ,  -15860 ,    2912 ,    1783 ,   -1159 ,   -1198
    548 ,  -16068 ,    3660 ,    -693 ,     445 ,      -4
   1260 ,  -16336 ,    3660 ,    -574 ,     -69 ,    -239
   1260 ,  -16108 ,    3444 ,    -799 ,     666 ,     267
