  15192 ,    2908 ,   -7044 ,   12325 ,    -716 ,  -18950
  16404 ,    4628 ,   -5888 ,  -12040 ,    -897 ,   10023
  14044 ,      28 ,   -9668 ,  -22795 ,   -1546 ,   15161
  15356 ,   -1472 ,   -8608 ,   -5123 ,   -1070 ,    2169
  14840 ,   -1592 ,   -9092 ,   -1955 ,    -792 ,     839
  15060 ,   -1716 ,   -8512 ,    -226 ,    -194 ,    -487
  14880 ,    2488 ,   -9060 ,   32767 ,    6705 ,  -30917
  15924 ,    5184 ,   -6700 ,    7712 ,    2255 ,   -6475
---
  13264 ,    -988 ,  -10880 ,    6687 ,    2331 ,   -5552
  14492 ,    3316 ,   -4420 ,    5923 ,     315 ,  -11565
  15404 ,    1512 ,   -7568 ,   -4771 ,     785 ,    3057
  14940 ,     756 ,   -8736 ,  -30593 ,   -5410 ,   22051
  15164 ,   -1336 ,   -9848 ,  -11006 ,    1445 ,    4918
  15212 ,   -1668 ,   -8816 ,    -978 ,     440 ,      69
  14728 ,   -1416 ,   -9124 ,    -904 ,     154 ,     250
  13288 ,     248 ,  -11376 ,   15733 ,    2649 ,  -11317
  14824 ,    3408 ,   -4476 ,    8627 ,    2482 ,  -14655
  14820 ,    3316 ,   -8060 ,   -1773 ,    -185 ,     436
---
  15940 ,    -516 ,   -8004 ,   27248 ,    3164 ,  -15067
  15332 ,    4784 ,   -4884 ,    9427 ,   -1320 ,  -12304
  15180 ,    3388 ,   -7592 ,   -3843 ,     -93 ,    3064
  15600 ,    1528 ,   -7012 ,  -31035 ,   -2307 ,   21939
  14804 ,   -1008 ,   -9072 ,  -15321 ,      32 ,    7910
  15504 ,   -1212 ,   -8392 ,   -2921 ,     384 ,    1196
  15520 ,   -1252 ,   -8020 ,   -1969 ,      79 ,     641
  15316 ,   -1132 ,   -8256 ,     700 ,     455 ,    -760
  14732 ,    3088 ,   -7020 ,   32767 ,    9724 ,  -24857
  14776 ,    5316 ,   -7208 ,    7397 ,   -1617 ,   -6227
---
  15848 ,   -1088 ,   -7292 ,    1304 ,     873 ,    -936
  15128 ,     756 ,   -9168 ,   19437 ,    3783 ,  -12601
  14284 ,    3576 ,   -4644 ,   12594 ,      -7 ,  -11534
  15468 ,    4144 ,   -6896 ,   -2290 ,    -488 ,    1547
  16608 ,    2784 ,   -5128 ,  -24041 ,   -2970 ,   17656
  14108 ,     488 ,  -10632 ,  -17765 ,   -2575 ,   10450
  15076 ,    -496 ,   -8532 ,   -3057 ,      38 ,    1585
  15560 ,    -504 ,   -8292 ,   -2434 ,    -133 ,    1101
  14968 ,    -612 ,   -8568 ,   -2474 ,     221 ,    1245
  15084 ,    -584 ,   -8636 ,     109 ,     506 ,    -529
---
  13940 ,    -848 ,  -10456 ,   -7768 ,     124 ,    4430
  14120 ,    -696 ,  -10332 ,    -629 ,     374 ,    -254
  14408 ,    -644 ,  -10400 ,     505 ,      56 ,    -295
  14288 ,    -964 ,   -9924 ,    6163 ,    1374 ,   -3577
  16380 ,   -1276 ,   -5040 ,   32767 ,    1516 ,  -30303
  14404 ,    5836 ,   -8732 ,     913 ,      58 ,   -2649
  15248 ,    4624 ,   -7460 ,   -8742 ,     782 ,    7374
  14016 ,    1664 ,   -9648 ,  -25675 ,   -7610 ,   20957
  14236 ,    -948 ,  -10088 ,  -10411 ,    -242 ,    5857
  14568 ,    -944 ,   -9740 ,   -1701 ,     337 ,     692
---
  14648 ,    -976 ,   -9176 ,    -383 ,     181 ,     258
  14924 ,    -980 ,   -9344 ,    -406 ,    -313 ,      81
  14808 ,   -1064 ,   -9372 ,    -438 ,     472 ,     -60
  14660 ,   -1108 ,   -9152 ,    -385 ,    -236 ,    -119
  14884 ,   -1008 ,   -9008 ,    -438 ,     830 ,     -73
  14804 ,    -996 ,   -9228 ,    -687 ,      13 ,     -64
  15064 ,    -904 ,   -9116 ,   -1413 ,    -570 ,     623
  15004 ,    -988 ,   -9088 ,   -6822 ,   -1234 ,    4566
  13644 ,    -208 ,  -13628 ,    3763 ,     914 ,   -1111
  15692 ,    3740 ,    -632 ,   32767 ,    3589 ,  -30311
---
  13012 ,    -860 ,  -12536 ,   -8191 ,    2186 ,    7326
  17280 ,   11424 ,   -3752 ,   32767 ,    3320 ,  -32768
  18532 ,    5116 ,   -8636 ,   -9559 ,   -6069 ,   10042
  10120 ,    1800 ,  -13124 ,  -32768 ,    3767 ,   32767
  12788 ,    -732 ,  -12672 ,   -4334 ,    1176 ,    1414
  13228 ,    -804 ,  -11412 ,   -1781 ,    -989 ,     826
  13304 ,    -680 ,  -11556 ,   -1118 ,     283 ,     342
  13184 ,    -812 ,  -11764 ,   -1707 ,    -188 ,     697
  13348 ,    -724 ,  -11824 ,   -4182 ,    1650 ,    4023
  12048 ,     284 ,  -12620 ,    8025 ,    3050 ,   -4739
---
  13188 ,    -612 ,  -11924 ,   -1826 ,     271 ,     899
  13024 ,    -512 ,  -12012 ,    -976 ,    -225 ,     381
  13184 ,    -540 ,  -11668 ,     -53 ,     673 ,    -192
  13616 ,    -392 ,  -11396 ,    -778 ,       8 ,    -144
  13320 ,    -348 ,  -11332 ,    -327 ,     438 ,    -403
  13360 ,       4 ,  -11168 ,   -1020 ,     375 ,    -957
